photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN8420,172,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,158.385,8,0,0,0,0,Imagen cortada,Monica
DSCN8421,172,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,160.96,10,0,0,0,0,Imagen cortada,Monica
DSCN8422,172,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,445.265,19,0,1,0,0,4 pequenos fragmentos en el suelo,Monica
DSCN8424,175,1,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,23.084,1,0,0,0,0,,Monica
DSCN8425,175,2,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,30.528,1,0,0,0,0,,Monica
DSCN8426,175,3,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,41.188,5,0,0,0,0,,Monica
DSCN8427,175,4,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,82.446,5,1,0,1,0,10 pequenos fragmentos en el suelo,Monica
DSCN8428,175,5,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,111.332,8,0,0,0,0,,Monica
DSCN8429,175,6,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,152.634,12,0,0,0,0,,Monica
DSCN8430,175,7,Guiri,,Pocillopora spp,arana,,24/1/21,1,2021,ene-21,165.327,8,0,1,0,0,,Monica
DSCN9001,169,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,293.278,10,0,0,0,0,,Monica
DSCN9002,169,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,231.582,10,0,0,0,0,,Monica
DSCN9003,169,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,276.967,11,0,0,0,0,,Monica
DSCN9004,169,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,241.977,12,0,0,0,0,,Monica
DSCN9005,169,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,185.736,9,0,0,0,0,,Monica
DSCN9006,169,6,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,301.024,12,0,0,0,0,,Monica
DSCN9007,169,7,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,459.07,17,0,0,0,0,,Monica
DSCN8994,170,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,NA,NA,NA,NA,NA,NA,,Monica
DSCN8995,170,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,167.762,7,0,0,0,0,,Monica
DSCN8996,170,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,178.116,6,0,0,0,0,,Monica
DSCN8997,170,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,200.671,8,0,0,0,0,,Monica
DSCN8998,170,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,228.691,8,0,0,0,0,,Monica
DSCN8999,170,6,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,185.453,7,0,0,0,0,,Monica
DSCN9000,170,7,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,344.596,10,0,0,0,0,,Monica
DSCN9008,171,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,139.649,9,0,0,0,0,,Monica
DSCN9009,171,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,172.331,8,0,0,0,0,,Monica
DSCN9010,171,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,180.888,10,0,0,0,0,,Monica
DSCN9011,171,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,205.725,8,0,0,0,0,,Monica
DSCN9012,171,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,272.767,7,0,0,0,0,,Monica
DSCN9013,171,6,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,164.82,8,0,0,0,0,,Monica
DSCN9014,171,7,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,314.131,13,0,0,0,0,,Monica
DSCN9015,172,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,115.791,9,0,0,0,0,,Monica
DSCN9016,172,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,205.898,10,0,0,0,0,,Monica
DSCN9017,172,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,154.523,10,0,0,0,0,,Monica
DSCN9018,172,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,234.371,10,0,1,0,0,,Monica
DSCN9019,172,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,233.087,10,0,2,0,0,,Monica
DSCN9020,172,6,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,324.382,10,0,0,0,0,,Monica
DSCN9021,172,7,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,547.949,18,2,0,0,0,,Monica
DSCN9022,175,1,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,25.689,2,0,0,0,0,,Monica
DSCN9023,175,2,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,25.31,1,0,0,0,0,,Monica
DSCN9025,175,3,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,56.845,4,0,0,0,0,,Monica
DSCN9026,175,4,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,130.2,5,0,0,0,0,,Monica
DSCN9027,175,5,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,149.056,10,0,0,0,0,,Monica
DSCN9028,175,6,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,206.476,12,0,0,0,0,,Monica
DSCN9029,175,7,Guiri,,Pocillopora spp,arana,,26/2/2021,2,2021,21-Feb,198.247,10,2,0,0,0,,Monica
DSCN0306,169,1,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,377.129,11,0,0,0,0,,Monica
DSCN0307,169,2,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,267.983,11,0,0,0,0,,Monica
DSCN0308,169,3,Guiri,,Pocillopora spp,arana,,27/3/2021,3,2021,21-Mar,331.284,11,0,0,0,0,,Monica
