photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN9091,14,2,Playa Blanca,,arana,,,2,2021,feb-24,29.098,4,0,0,3,0,,Maricruz
DSCN9092,14,3,Playa Blanca,,arana,,,2,2021,feb-24,53.285,3,0,2,3,0,,Maricruz
DSCN9093,14,4,Playa Blanca,,arana,,,2,2021,feb-24,107.147,6,0,3,1,0,,Maricruz
DSCN9094,14,5,Playa Blanca,,arana,,,2,2021,feb-24,NA,NA,NA,NA,NA,NA,foto duplicada con un coral muerto que cambia en la siguiente foto,Maricruz
DSCN9095,14,5,Playa Blanca,,arana,,,2,2021,feb-24,94.195,6,0,1,0,0,,Maricruz
DSCN9096,14,6,Playa Blanca,,arana,,,2,2021,feb-24,88.660,5,0,1,0,0,,Maricruz
DSCN9097,14,7,Playa Blanca,,arana,,,2,2021,feb-24,204.871,17,0,4,2,0,,Maricruz
DSCN9068,15,1,Playa Blanca,,arana,,,2,2021,feb-24,57.813,7,0,1,2,0,,Maricruz
DSCN9069,15,2,Playa Blanca,,arana,,,2,2021,feb-24,53.931,7,0,1,2,0,,Maricruz
DSCN9070,15,3,Playa Blanca,,arana,,,2,2021,feb-24,18.104,3,0,0,3,0,,Maricruz
DSCN9071,15,4,Playa Blanca,,arana,,,2,2021,feb-24,93.067,4,0,0,1,0,,Maricruz
DSCN9072,15,5,Playa Blanca,,arana,,,2,2021,feb-24,41.735,5,0,1,2,0,,Maricruz
DSCN9073,15,6,Playa Blanca,,arana,,,2,2021,feb-24,146.891,7,0,0,0,0,,Maricruz
DSCN9074,15,7,Playa Blanca,,arana,,,2,2021,feb-24,162.098,10,0,2,4,0,,Maricruz
DSCN0402,11,1,Playa Blanca,,arana,,,3,2021,mar-24,154.072,4,0,0,0,0,,Maricruz
DSCN0403,11,2,Playa Blanca,,arana,,,3,2021,mar-24,140.419,5,0,2,0,0,,Maricruz
DSCN0404,11,3,Playa Blanca,,arana,,,3,2021,mar-24,98.667,3,0,1,0,0,No estoy segura si el de la fila de arriba tiene mort parcial,Maricruz
DSCN0405,11,4,Playa Blanca,,arana,,,3,2021,mar-24,109.236,4,0,2,0,0,,Maricruz
DSCN0406,11,5,Playa Blanca,,arana,,,3,2021,mar-24,277.609,6,0,2,0,0,,Maricruz
DSCN0407,11,6,Playa Blanca,,arana,,,3,2021,mar-24,186.384,4,0,0,2,0,,Maricruz
DSCN0408,11,7,Playa Blanca,,arana,,,3,2021,mar-24,214.198,11,0,2,2,0,,Maricruz
DSCN0380,12,1,Playa Blanca,,arana,,,3,2021,mar-24,158.170,5,0,0,0,0,,Maricruz
DSCN0381,12,2,Playa Blanca,,arana,,,3,2021,mar-24,144.713,5,0,0,0,0,,Maricruz
DSCN0382,12,3,Playa Blanca,,arana,,,3,2021,mar-24,56.004,5,0,0,0,0,,Maricruz
DSCN0383,12,4,Playa Blanca,,arana,,,3,2021,mar-24,57.628,6,0,0,0,0,****,Maricruz
DSCN0384,12,5,Playa Blanca,,arana,,,3,2021,mar-24,50.759,5,1,0,1,0,,Maricruz
DSCN0385,12,6,Playa Blanca,,arana,,,3,2021,mar-24,60.720,4,0,1,1,0,,Maricruz
DSCN0386,12,7,Playa Blanca,,arana,,,3,2021,mar-24,200.406,15,0,2,5,0,,Maricruz
DSCN0387,13,1,Playa Blanca,,arana,,,3,2021,mar-24,NA,NA,NA,NA,NA,NA,Replica de la siguente imagen,Maricruz
DSCN0388,13,1,Playa Blanca,,arana,,,3,2021,mar-24,102.685,5,0,0,0,0,,Maricruz
DSCN0389,13,2,Playa Blanca,,arana,,,3,2021,mar-24,92.500,5,0,1,1,0,,Maricruz
DSCN0390,13,3,Playa Blanca,,arana,,,3,2021,mar-24,199.003,8,0,0,1,0,,Maricruz
DSCN0391,13,4,Playa Blanca,,arana,,,3,2021,mar-24,213.549,9,0,0,0,0,,Maricruz
DSCN0392,13,5,Playa Blanca,,arana,,,3,2021,mar-24,67.472,3,0,0,1,0,,Maricruz
DSCN0393,13,6,Playa Blanca,,arana,,,3,2021,mar-24,42.773,2,0,0,3,0,,Maricruz
DSCN0394,13,7,Playa Blanca,,arana,,,3,2021,mar-24,399.542,19,0,1,2,0,,Maricruz
DSCN0395,14,1,Playa Blanca,,arana,,,3,2021,mar-24,101.864,4,0,1,4,0,,Maricruz
DSCN0396,14,2,Playa Blanca,,arana,,,3,2021,mar-24,NA,NA,NA,NA,NA,NA,Solo se ve la mitad de la arana,Maricruz
DSCN0397,14,3,Playa Blanca,,arana,,,3,2021,mar-24,55.624,3,0,0,2,0,,Maricruz
DSCN0398,14,4,Playa Blanca,,arana,,,3,2021,mar-24,164.722,6,0,0,0,0,,Maricruz
DSCN0399,14,5,Playa Blanca,,arana,,,3,2021,mar-24,102.352,5,0,0,1,0,,Maricruz
DSCN0400,14,6,Playa Blanca,,arana,,,3,2021,mar-24,113.203,5,0,0,0,0,,Maricruz
DSCN0401,14,7,Playa Blanca,,arana,,,3,2021,mar-24,282.787,16,0,1,6,0,,Maricruz
DSCN0373,15,1,Playa Blanca,,arana,,,3,2021,mar-24,65.644,7,0,0,3,0,,Maricruz
DSCN0374,15,2,Playa Blanca,,arana,,,3,2021,mar-24,69.952,7,0,0,1,0,,Maricruz
DSCN0375,15,3,Playa Blanca,,arana,,,3,2021,mar-24,30.432,3,0,0,3,0,,Maricruz
DSCN0376,15,4,Playa Blanca,,arana,,,3,2021,mar-24,76.520,5,0,0,1,0,,Maricruz
DSCN0377,15,5,Playa Blanca,,arana,,,3,2021,mar-24,31.109,3,0,0,5,0,,Maricruz
DSCN0378,15,6,Playa Blanca,,arana,,,3,2021,mar-24,111.719,5,0,1,0,0,,Maricruz
DSCN0379,15,7,Playa Blanca,,arana,,,3,2021,mar-24,110.593,9,0,1,6,0,,Maricruz
