photo.code,str.code,lado,site,origin,spp,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN3163,172,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,216.257",9,0,0,0,0,,Monica
DSCN3164,172,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,372.241",11,0,0,0,0,,Monica
DSCN3165,172,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"2,107.964",19,0,0,0,0,,Monica
DSCN3167,175,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,606.721,7,0,0,0,0,,Monica
DSCN3168,175,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,711.181,9,0,0,0,1,,Monica
DSCN3169,175,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,666.356,7,0,0,0,0,,Monica
DSCN3170,175,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,214.588",8,0,0,0,0,,Monica
DSCN3171,175,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,339.672",10,0,0,0,0,,Monica
DSCN3172,175,6,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,731.609",11,0,0,0,0,,Monica
DSCN3173,175,7,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,"1,442.181",10,0,0,0,0,,Monica
DSCN3191,76,1,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,561.015,5,0,0,0,0,,Monica
DSCN3192,76,2,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,251.639,5,0,0,0,0,,Monica
DSCN3193,76,3,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,493.766,4,0,0,0,0,,Monica
DSCN3194,76,4,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,651.105,6,0,0,0,0,,Monica
DSCN3195,76,5,Guiri,,Pocillopora spp,arana,,21/4/2023,4,2023,abr-23,538.384,7,0,0,0,0,,Monica
