photo.code,str.code,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,digitador
DSCN1264,82,Playa Blanca,,arana pequena,,,1,2023,ene-23,96.348,21,0,10,0,0,Fotografía cortada en medio de un fragmento,Amanda
DSCN1269,99,Playa Blanca,,arana pequena,,,1,2023,ene-23,179.520,24,0,15,3,0,"Pequeños fragmentos, mucha mortalidad parcial",Amanda
DSCN1266,115,Playa Blanca,,arana pequena,,,1,2023,ene-23,60.472,19,0,12,1,0,Fragmentos muy pequeños,Amanda
DSCN1270,146,Playa Blanca,,arana pequena,,,1,2023,ene-23,221.184,30,0,25,1,0,Gran índice de mortalidad parcial,Amanda
DSCN1265,147,Playa Blanca,,arana pequena,,,1,2023,ene-23,108.158,20,0,11,1,0,Fragmentos pequeños,Amanda
DSCN1268,155,Playa Blanca,,arana pequena,,,1,2023,ene-23,123.120,23,1,12,1,0,Fragmentos pequeños,Amanda
DSCN2027,59,Playa Blanca,,arana pequena,,,2,2023,feb-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN2028,59,Playa Blanca,,arana pequena,,,2,2023,feb-23,124.516,12,0,10,0,0,"Pocos fragmentos, fotografía desenfocada",Amanda
DSCN2031,82,Playa Blanca,,arana pequena,,,2,2023,feb-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN2032,82,Playa Blanca,,arana pequena,,,2,2023,feb-23,156.464,21,0,14,0,0,Fragmentos pequeños,Amanda
DSCN2019,99,Playa Blanca,,arana pequena,,,2,2023,feb-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN2020,99,Playa Blanca,,arana pequena,,,2,2023,feb-23,266.864,25,0,19,0,0,Fotografía un poco oscura,Amanda
DSCN2025,115,Playa Blanca,,arana pequena,,,2,2023,feb-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
DSCN2026,115,Playa Blanca,,arana pequena,,,2,2023,feb-23,80.626,17,0,15,1,0,Gran nivel de mortalidad parcial,Amanda
DSCN2023,146,Playa Blanca,,arana pequena,,,2,2023,feb-23,NA,NA,NA,NA,NA,NA,Etiqueta arana,Amanda
