"photo.code","site","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","data_entry_person","date"
"DSCN4544","Playa Blanca","5","2023",360.089,16,0,14,1,0,"59","Amanda",2023-05-01
"DSCN4538","Playa Blanca","5","2023",340.464,21,1,13,1,0,"82","Amanda",2023-05-01
"DSCN4550","Playa Blanca","5","2023",485.527,21,0,13,3,2,"99","Amanda",2023-05-01
"DSCN4542","Playa Blanca","5","2023",361.155,21,0,13,0,0,"115","Amanda",2023-05-01
"DSCN4548","Playa Blanca","5","2023",448.008,27,0,18,0,0,"146","Amanda",2023-05-01
"DSCN4540","Playa Blanca","5","2023",346.462,19,0,14,1,0,"147","Amanda",2023-05-01
"DSCN4546","Playa Blanca","5","2023",358.003,22,0,16,1,0,"155","Amanda",2023-05-01
"DSCN2748","Playa Blanca","3","2023",444.898,20,0,0,0,0,"79","Paula",2023-03-01
"DSCN2761","Playa Blanca","3","2023",462.214,25,0,5,1,0,"80","Paula",2023-03-01
"DSCN2767","Playa Blanca","3","2023",369.858,24,0,1,0,2,"81","Paula",2023-03-01
"DSCN2780","Playa Blanca","3","2023",290.785,23,0,2,0,0,"86","Paula",2023-03-01
"DSCN2776","Playa Blanca","3","2023",926.403,23,0,3,0,0,"108","Paula",2023-03-01
"DSCN3818","Playa Blanca","4","2023",508.443,24,0,0,0,2,"81","Paula",2023-04-01
"DSCN3772","Playa Blanca","4","2023",306.132,22,0,2,1,0,"86","Paula",2023-04-01
"DSCN3830","Playa Blanca","4","2023",921.554,23,0,3,0,0,"108","Paula",2023-04-01
"DSCN3824","Playa Blanca","4","2023",271.45,26,0,0,0,0,"68","Daniela",2023-04-01
"DSCN3762","Playa Blanca","4","2023",191.58,24,0,0,0,1,"70","Daniela",2023-04-01
"DSCN3814","Playa Blanca","4","2023",502.88,22,0,0,0,0,"72","Daniela",2023-04-01
"DSCN3846","Playa Blanca","4","2023",357.01,24,0,0,1,0,"73","Daniela",2023-04-01
