"photo.code","site","origin","month","year","area.cm2","num.frag","mort.","mort.parc","perd","blanq","structure","structure_fixed","face","data_entry_person","date"
"DSCN9092","Playa Blanca","Jicaro","2","2021",53.285,3,0,2,3,0,"14","14","3","Digitador_8",2021-02-01
"DSCN9093","Playa Blanca","Jicaro","2","2021",107.147,6,0,3,1,0,"14","14","4","Digitador_8",2021-02-01
"DSCN9095","Playa Blanca","Jicaro","2","2021",94.195,6,0,1,0,0,"14","14","5","Digitador_8",2021-02-01
"DSCN9096","Playa Blanca","Jicaro","2","2021",88.66,5,0,1,0,0,"14","14","6","Digitador_8",2021-02-01
"DSCN9097","Playa Blanca","Jicaro","2","2021",204.871,17,0,4,2,0,"14","14","7","Digitador_8",2021-02-01
"DSCN9068","Playa Blanca","Jicaro","2","2021",57.813,7,0,1,2,0,"15","15","1","Digitador_8",2021-02-01
"DSCN9069","Playa Blanca","Jicaro","2","2021",53.931,7,0,1,2,0,"15","15","2","Digitador_8",2021-02-01
"DSCN9070","Playa Blanca","Jicaro","2","2021",18.104,3,0,0,3,0,"15","15","3","Digitador_8",2021-02-01
"DSCN9071","Playa Blanca","Jicaro","2","2021",93.067,4,0,0,1,0,"15","15","4","Digitador_8",2021-02-01
"DSCN9072","Playa Blanca","Jicaro","2","2021",41.735,5,0,1,2,0,"15","15","5","Digitador_8",2021-02-01
"DSCN9073","Playa Blanca","Jicaro","2","2021",146.891,7,0,0,0,0,"15","15","6","Digitador_8",2021-02-01
"DSCN9074","Playa Blanca","Jicaro","2","2021",162.098,10,0,2,4,0,"15","15","7","Digitador_8",2021-02-01
"DSCN0402","Playa Blanca","Jicaro","3","2021",154.072,4,0,0,0,0,"11","11","1","Digitador_8",2021-03-01
"DSCN0403","Playa Blanca","Jicaro","3","2021",140.419,5,0,2,0,0,"11","11","2","Digitador_8",2021-03-01
"DSCN0404","Playa Blanca","Jicaro","3","2021",98.667,3,0,1,0,0,"11","11","3","Digitador_8",2021-03-01
"DSCN0405","Playa Blanca","Jicaro","3","2021",109.236,4,0,2,0,0,"11","11","4","Digitador_8",2021-03-01
"DSCN0406","Playa Blanca","Jicaro","3","2021",277.609,6,0,2,0,0,"11","11","5","Digitador_8",2021-03-01
"DSCN0407","Playa Blanca","Jicaro","3","2021",186.384,4,0,0,2,0,"11","11","6","Digitador_8",2021-03-01
"DSCN0408","Playa Blanca","Jicaro","3","2021",214.198,11,0,2,2,0,"11","11","7","Digitador_8",2021-03-01
"DSCN0380","Playa Blanca","Jicaro","3","2021",158.17,5,0,0,0,0,"12","12","1","Digitador_8",2021-03-01
"DSCN0381","Playa Blanca","Jicaro","3","2021",144.713,5,0,0,0,0,"12","12","2","Digitador_8",2021-03-01
"DSCN0382","Playa Blanca","Jicaro","3","2021",56.004,5,0,0,0,0,"12","12","3","Digitador_8",2021-03-01
"DSCN0383","Playa Blanca","Jicaro","3","2021",57.628,6,0,0,0,0,"12","12","4","Digitador_8",2021-03-01
"DSCN0384","Playa Blanca","Jicaro","3","2021",50.759,5,1,0,1,0,"12","12","5","Digitador_8",2021-03-01
"DSCN0385","Playa Blanca","Jicaro","3","2021",60.72,4,0,1,1,0,"12","12","6","Digitador_8",2021-03-01
"DSCN0386","Playa Blanca","Jicaro","3","2021",200.406,15,0,2,5,0,"12","12","7","Digitador_8",2021-03-01
"DSCN0388","Playa Blanca","Jicaro","3","2021",102.685,5,0,0,0,0,"13","13","1","Digitador_8",2021-03-01
"DSCN0389","Playa Blanca","Jicaro","3","2021",92.5,5,0,1,1,0,"13","13","2","Digitador_8",2021-03-01
"DSCN0390","Playa Blanca","Jicaro","3","2021",199.003,8,0,0,1,0,"13","13","3","Digitador_8",2021-03-01
"DSCN0391","Playa Blanca","Jicaro","3","2021",213.549,9,0,0,0,0,"13","13","4","Digitador_8",2021-03-01
"DSCN0392","Playa Blanca","Jicaro","3","2021",67.472,3,0,0,1,0,"13","13","5","Digitador_8",2021-03-01
"DSCN0393","Playa Blanca","Jicaro","3","2021",42.773,2,0,0,3,0,"13","13","6","Digitador_8",2021-03-01
"DSCN0394","Playa Blanca","Jicaro","3","2021",399.542,19,0,1,2,0,"13","13","7","Digitador_8",2021-03-01
"DSCN0395","Playa Blanca","Jicaro","3","2021",101.864,4,0,1,4,0,"14","14","1","Digitador_8",2021-03-01
"DSCN0397","Playa Blanca","Jicaro","3","2021",55.624,3,0,0,2,0,"14","14","3","Digitador_8",2021-03-01
"DSCN0398","Playa Blanca","Jicaro","3","2021",164.722,6,0,0,0,0,"14","14","4","Digitador_8",2021-03-01
"DSCN0399","Playa Blanca","Jicaro","3","2021",102.352,5,0,0,1,0,"14","14","5","Digitador_8",2021-03-01
"DSCN0400","Playa Blanca","Jicaro","3","2021",113.203,5,0,0,0,0,"14","14","6","Digitador_8",2021-03-01
"DSCN0401","Playa Blanca","Jicaro","3","2021",282.787,16,0,1,6,0,"14","14","7","Digitador_8",2021-03-01
"DSCN0373","Playa Blanca","Jicaro","3","2021",65.644,7,0,0,3,0,"15","15","1","Digitador_8",2021-03-01
"DSCN0374","Playa Blanca","Jicaro","3","2021",69.952,7,0,0,1,0,"15","15","2","Digitador_8",2021-03-01
"DSCN0375","Playa Blanca","Jicaro","3","2021",30.432,3,0,0,3,0,"15","15","3","Digitador_8",2021-03-01
"DSCN0376","Playa Blanca","Jicaro","3","2021",76.52,5,0,0,1,0,"15","15","4","Digitador_8",2021-03-01
"DSCN0377","Playa Blanca","Jicaro","3","2021",31.109,3,0,0,5,0,"15","15","5","Digitador_8",2021-03-01
"DSCN0378","Playa Blanca","Jicaro","3","2021",111.719,5,0,1,0,0,"15","15","6","Digitador_8",2021-03-01
"DSCN0379","Playa Blanca","Jicaro","3","2021",110.593,9,0,1,6,0,"15","15","7","Digitador_8",2021-03-01
"DSCN0780","Playa Blanca","Jicaro","4","2021",133.835,4,0,3,0,0,"11","11","1","Digitador_8",2021-04-01
"DSCN0781","Playa Blanca","Jicaro","4","2021",147.996,4,0,2,1,0,"11","11","2","Digitador_8",2021-04-01
"DSCN0782","Playa Blanca","Jicaro","4","2021",136.245,3,0,1,1,0,"11","11","3","Digitador_8",2021-04-01
"DSCN0783","Playa Blanca","Jicaro","4","2021",115.204,4,0,2,1,0,"11","11","4","Digitador_8",2021-04-01
"DSCN0784","Playa Blanca","Jicaro","4","2021",187.013,5,0,1,0,0,"11","11","5","Digitador_8",2021-04-01
"DSCN0785","Playa Blanca","Jicaro","4","2021",127.399,4,0,1,2,0,"11","11","6","Digitador_8",2021-04-01
"DSCN0786","Playa Blanca","Jicaro","4","2021",234.884,6,0,1,2,0,"11","11","7","Digitador_8",2021-04-01
"DSCN0756","Playa Blanca","Jicaro","4","2021",191.99,5,0,1,0,0,"12","12","1","Digitador_8",2021-04-01
"DSCN0757","Playa Blanca","Jicaro","4","2021",193.572,5,0,0,0,0,"12","12","2","Digitador_8",2021-04-01
"DSCN0758","Playa Blanca","Jicaro","4","2021",59.894,4,0,0,1,0,"12","12","3","Digitador_8",2021-04-01
"DSCN0759","Playa Blanca","Jicaro","4","2021",59.22,6,0,1,1,0,"12","12","4","Digitador_8",2021-04-01
"DSCN0760","Playa Blanca","Jicaro","4","2021",38.476,4,0,0,3,0,"12","12","5","Digitador_8",2021-04-01
"DSCN0761","Playa Blanca","Jicaro","4","2021",55.953,4,0,2,1,0,"12","12","6","Digitador_8",2021-04-01
"DSCN0762","Playa Blanca","Jicaro","4","2021",294.352,14,0,1,4,0,"12","12","7","Digitador_8",2021-04-01
"DSCN0747","Playa Blanca","Jicaro","4","2021",139.567,5,0,0,0,0,"13","13","1","Digitador_8",2021-04-01
"DSCN0748","Playa Blanca","Jicaro","4","2021",90.64,6,0,1,2,0,"13","13","2","Digitador_8",2021-04-01
"DSCN0749","Playa Blanca","Jicaro","4","2021",181.765,7,0,0,1,0,"13","13","3","Digitador_8",2021-04-01
"DSCN0750","Playa Blanca","Jicaro","4","2021",160.586,7,0,0,1,0,"13","13","4","Digitador_8",2021-04-01
"DSCN0751","Playa Blanca","Jicaro","4","2021",52.654,3,0,1,2,0,"13","13","5","Digitador_8",2021-04-01
"DSCN0752","Playa Blanca","Jicaro","4","2021",51.4,2,0,0,2,0,"13","13","6","Digitador_8",2021-04-01
"DSCN0754","Playa Blanca","Jicaro","4","2021",416.247,16,0,0,2,0,"13","13","7","Digitador_8",2021-04-01
