photo.code,str.code,lado,site,origin,nursery,frag.date,date,month,year,gira,area.cm2,num.frag,mort.,mort.parc,perd,blanq,notas,analizador
DSCN8417,92,2,Playa Pelonas,,arana,,,3,2022,22-Mar,101.465,6,0,0,0,0,,Tania
DSCN8418,92,3,Playa Pelonas,,arana,,,3,2022,22-Mar,137.331,9,0,0,0,0,,Tania
DSCN8419,92,4,Playa Pelonas,,arana,,,3,2022,22-Mar,93.176,6,0,0,0,0,,Tania
DSCN8421,92,5,Playa Pelonas,,arana,,,3,2022,22-Mar,109.389,7,0,0,0,0,,Tania
DSCN8422,92,6,Playa Pelonas,,arana,,,3,2022,22-Mar,119.696,9,0,0,0,0,,Tania
DSCN8423,92,7,Playa Pelonas,,arana,,,3,2022,22-Mar,318.697,11,0,0,0,0,,Tania
DSCN8386,93,1,Playa Pelonas,,arana,,,3,2022,22-Mar,57.346,6,0,0,0,0,,Tania
DSCN8387,93,2,Playa Pelonas,,arana,,,3,2022,22-Mar,59.303,4,0,0,0,0,,Tania
DSCN8388,93,3,Playa Pelonas,,arana,,,3,2022,22-Mar,43.969,4,0,0,0,0,,Tania
DSCN8389,93,4,Playa Pelonas,,arana,,,3,2022,22-Mar,36.123,3,0,0,0,0,,Tania
DSCN8390,93,5,Playa Pelonas,,arana,,,3,2022,22-Mar,49.074,3,0,0,0,0,,Tania
DSCN8391,93,6,Playa Pelonas,,arana,,,3,2022,22-Mar,47.149,3,0,0,0,0,,Tania
DSCN8392,93,7,Playa Pelonas,,arana,,,3,2022,22-Mar,157.442,14,0,0,0,0,,Tania
DSCN8425,94,1,Playa Pelonas,,arana,,,3,2022,22-Mar,19.656,2,0,0,0,0,,Tania
DSCN8426,94,2,Playa Pelonas,,arana,,,3,2022,22-Mar,31.583,5,0,0,0,0,,Tania
DSCN8427,94,3,Playa Pelonas,,arana,,,3,2022,22-Mar,38.214,4,0,0,1,0,,Tania
DSCN8428,94,4,Playa Pelonas,,arana,,,3,2022,22-Mar,31.769,3,0,0,0,0,,Tania
DSCN8429,94,5,Playa Pelonas,,arana,,,3,2022,22-Mar,34.65,3,0,0,0,0,,Tania
DSCN8430,94,6,Playa Pelonas,,arana,,,3,2022,22-Mar,35.342,3,0,0,0,0,,Tania
DSCN8431,94,7,Playa Pelonas,,arana,,,3,2022,22-Mar,110.602,5,0,0,0,0,,Tania
DSCN9171,91,1,Playa Pelonas,,arana,,,4,2022,abr-22,39.017,3,1,0,0,0,,Tania
DSCN9172,91,2,Playa Pelonas,,arana,,,4,2022,abr-22,20.638,2,0,0,0,0,,Tania
DSCN9173,91,3,Playa Pelonas,,arana,,,4,2022,abr-22,30.872,3,0,0,0,0,,Tania
DSCN9174,91,4,Playa Pelonas,,arana,,,4,2022,abr-22,63.968,5,0,0,0,0,,Tania
DSCN9175,91,5,Playa Pelonas,,arana,,,4,2022,abr-22,19.704,2,0,0,0,0,,Tania
DSCN9176,91,6,Playa Pelonas,,arana,,,4,2022,abr-22,13.064,2,0,0,0,0,,Tania
DSCN9177,91,7,Playa Pelonas,,arana,,,4,2022,abr-22,311.669,9,0,0,0,0,,Tania
DSCN9152,92,1,Playa Pelonas,,arana,,,4,2022,abr-22,111.586,6,0,0,0,0,,Tania
DSCN9153,92,2,Playa Pelonas,,arana,,,4,2022,abr-22,128.853,10,0,0,0,0,,Tania
DSCN9154,92,3,Playa Pelonas,,arana,,,4,2022,abr-22,103.487,5,0,1,0,0,,Tania
DSCN9155,92,4,Playa Pelonas,,arana,,,4,2022,abr-22,115.394,6,0,0,0,0,,Tania
DSCN9156,92,5,Playa Pelonas,,arana,,,4,2022,abr-22,152.233,9,0,0,0,0,,Tania
DSCN9157,92,6,Playa Pelonas,,arana,,,4,2022,abr-22,60.048,4,0,0,0,0,,Tania
DSCN9158,92,7,Playa Pelonas,,arana,,,4,2022,abr-22,527.757,16,0,1,0,0,,Tania
DSCN9179,93,1,Playa Pelonas,,arana,,,4,2022,abr-22,44.922,4,0,0,0,0,,Tania
DSCN9180,93,2,Playa Pelonas,,arana,,,4,2022,abr-22,71.417,3,0,0,0,0,,Tania
